Date,Adj. Close,Adj. Volume,Code,Month
2008/6/30,22.04560203,3811604,WIKI/MAR,6
2008/7/31,21.76835169,3996878,WIKI/MAR,7
2008/8/31,23.70070248,2893646,WIKI/MAR,8
2008/9/30,21.98661736,9247045,WIKI/MAR,9
2008/10/31,17.58760844,4087486,WIKI/MAR,10
2008/11/30,14.22392975,1570619,WIKI/MAR,11
2008/12/31,16.4773933,3428495,WIKI/MAR,12
2009/1/31,13.81728971,6144583,WIKI/MAR,1
2009/2/28,11.99588119,7250980,WIKI/MAR,2
2009/3/31,13.93436888,4553390,WIKI/MAR,3
2009/4/30,20.06685396,13508330,WIKI/MAR,4
2009/5/31,19.89650716,6452119,WIKI/MAR,5
2009/6/30,18.86731517,4548691,WIKI/MAR,6
2009/7/31,18.41422604,3100735,WIKI/MAR,7
2009/8/31,20.50940359,3289119,WIKI/MAR,8
2009/9/30,23.6759182,7621690,WIKI/MAR,9
2009/10/31,21.50483908,5838452,WIKI/MAR,10
2009/11/30,22.146239,4105800,WIKI/MAR,11
2009/12/31,23.46364746,1536400,WIKI/MAR,12
2010/1/31,22.58537516,5062900,WIKI/MAR,1
2010/2/28,23.37756776,2873800,WIKI/MAR,2
2010/3/31,27.18041077,4164200,WIKI/MAR,3
2010/4/30,31.69898159,5403700,WIKI/MAR,4
2010/5/31,28.87894072,3504300,WIKI/MAR,5
2010/6/30,25.84859448,5016400,WIKI/MAR,6
2010/7/31,29.27608012,4568600,WIKI/MAR,7
2010/8/31,27.63950574,4158000,WIKI/MAR,8
2010/9/30,30.96938443,2928300,WIKI/MAR,9
2010/10/31,32.02388203,7632600,WIKI/MAR,10
2010/11/30,33.96975073,3100700,WIKI/MAR,11
2010/12/31,35.98835616,1796000,WIKI/MAR,12
2011/1/31,34.21232992,3482800,WIKI/MAR,1
2011/2/28,34.04735786,3740400,WIKI/MAR,2
2011/3/31,30.89530713,3687600,WIKI/MAR,3
2011/4/30,30.65217374,2823000,WIKI/MAR,4
2011/5/31,32.92146857,3433800,WIKI/MAR,5
2011/6/30,30.90142607,3843700,WIKI/MAR,6
2011/7/31,28.29800922,8687900,WIKI/MAR,7
2011/8/31,25.5835954,3991000,WIKI/MAR,8
2011/9/30,23.80113178,6402200,WIKI/MAR,9
2011/10/31,27.52333521,5989800,WIKI/MAR,10
2011/11/30,28.46387405,3478800,WIKI/MAR,11
2011/12/31,27.11597668,1346800,WIKI/MAR,12
2012/1/31,32.02418227,2903700,WIKI/MAR,1
2012/2/29,32.89096303,4138400,WIKI/MAR,2
2012/3/31,35.28693171,2901700,WIKI/MAR,3
2012/4/30,36.44296329,2195700,WIKI/MAR,4
2012/5/31,36.21033232,4218300,WIKI/MAR,5
2012/6/30,36.66869096,3076700,WIKI/MAR,6
2012/7/31,34.06820726,2415400,WIKI/MAR,7
2012/8/31,35.37001821,1670700,WIKI/MAR,8
2012/9/30,36.70296476,3023700,WIKI/MAR,9
2012/10/31,34.24358451,3793600,WIKI/MAR,10
2012/11/30,34.19219582,3632700,WIKI/MAR,11
